date,open,high,low,close,volume,amount,outstanding_share,turnover
2010/8/11,204.36,211.58,204.36,210.91,20293192,380604512,826928499,0.02454044336909472
2010/8/12,210.13,212.13,207.02,207.58,14884358,280683040,826928499,0.017999570722256605
2010/8/13,207.36,219.57,207.14,217.69,24204176,466871904,826928499,0.029269974404401315
2010/8/16,217.46,225.35,216.58,221.91,22791120,455375328,826928499,0.02756117370191156
2010/8/17,221.91,224.24,220.02,221.69,17313052,346481792,826928499,0.02093657676683846
2010/8/18,221.24,223.24,216.58,220.13,12266975,242012272,826928499,0.014834384127327072
2010/8/19,219.02,220.13,215.58,215.8,12097129,236559648,826928499,0.014628990311289296
2010/8/20,216.58,216.58,204.14,205.47,21223388,398756160,826928499,0.02566532417937624
2010/8/23,205.25,213.24,204.8,210.58,14083407,266253056,826928499,0.017030985166227777
2010/8/24,210.02,215.47,207.02,213.58,9845261,188108224,826928499,0.011905818957631547
2010/8/25,212.58,215.8,210.36,210.8,12225669,234341568,826928499,0.014784433012992579
2010/8/26,210.47,212.8,208.36,211.36,5482672,104095984,826928499,0.006630164526473769
2010/8/27,211.69,219.46,211.58,216.91,7835906,152820592,826928499,0.009475917215909135
2010/8/30,218.35,229.46,217.8,223.46,17234488,348470208,826928499,0.020841569761885784
2010/8/31,222.35,228.24,222.13,225.91,8851382,179958480,826928499,0.010703926652309029
2010/9/1,225.91,227.13,218.35,220.13,9938746,198456304,826928499,0.012018869844271748
2010/9/2,220.91,232.13,220.91,230.35,16277241,336343296,826928499,0.01968397632888935
2010/9/3,230.57,232.79,225.91,229.46,7073214,145966112,826928499,0.008553598054189204
2010/9/6,230.57,237.35,230.57,231.13,8645087,182169744,826928499,0.010454455264819697
2010/9/9,234.35,254.23,234.35,242.79,21642936,483125024,826928499,0.026172681224764512
2010/9/10,242.79,251.56,238.46,247.79,16369277,362211040,826928499,0.01979527494794928
2010/9/13,247.79,251.56,242.23,246.45,13579675,302134208,826928499,0.016421824881379495
2010/9/14,246.79,246.79,240.01,241.68,14784893,322123168,826928499,0.017879288255126396
2010/9/15,241.68,247.45,239.9,242.01,10478902,230096464,826928499,0.012672077468211675
2010/9/16,242.68,244.34,231.24,241.45,10558668,225038784,826928499,0.012768538045028727
2010/9/17,240.79,244.23,237.46,241.68,5252259,114299656,826928499,0.006351527376733935
2010/9/20,241.9,242.12,235.57,235.9,3626773,77691136,826928499,0.004385836265633409
2010/9/21,236.01,239.9,233.79,238.68,5370818,114532448,826928499,0.006494900111067523
2010/9/28,246.45,250.78,243.01,248.56,9072549,202544896,826928499,0.010971382666060467
2010/9/29,248.56,250.45,239.34,242.12,6494062,142536640,826928499,0.00785323278597029
2010/9/30,242.12,248.56,239.23,248.23,5791909,128517656,826928499,0.007004123097709322
2010/10/8,249.9,252.89,247.12,250.23,7559214,170129632,826928499,0.009141315130801896
2010/10/11,249.9,249.9,231.13,238.12,28328660,604894784,826928499,0.03425768979332275
2010/10/12,235.9,239.79,228.57,231.46,14083277,294887872,826928499,0.017030827957956254
2010/10/13,231.57,234.24,224.35,229.35,16845766,344252896,826928499,0.020371490425558546
2010/10/14,230.13,231.46,218.8,221.02,17294676,346956672,826928499,0.020914354773011637
2010/10/15,219.91,227.46,218.02,222.57,14351477,288254944,826928499,0.017355160715049923
2010/10/18,222.57,225.02,211.02,224.91,30525064,590853120,826928499,0.03691378884258287
2010/10/19,222.02,230.24,220.8,228.9,13553950,278194112,826928499,0.016390715783034103
2010/10/20,225.46,241.9,225.24,238.12,24110522,512906176,826928499,0.02915671914700814
2010/10/21,237.35,242.12,233.46,241.23,14847777,320886592,826928499,0.017955333523944735
2010/10/22,241.57,243.12,238.46,242.9,16662795,361430304,826928499,0.02015022462056904
2010/10/25,244.01,247.34,241.12,245.12,13161492,289364320,826928499,0.015916118522842203
2010/10/26,243.34,244.34,232.68,237.9,28548724,608302400,826928499,0.03452381195535504
2010/10/27,240.79,249.12,234.12,235.9,29509232,646466176,826928499,0.035685348897377886
2010/10/28,235.57,237.35,233.24,236.35,12792152,270738880,826928499,0.015469477730504484
2010/10/29,237.68,238.79,228.24,238.68,18733918,392066400,826928499,0.022654822058563492
2010/11/1,239.68,247.12,238.23,246.34,22532498,493688928,826928499,0.027248423566545867
2010/11/2,246.56,256,243.79,246.01,18526644,417860704,826928499,0.022404166771860162
2010/11/3,244.34,253.01,243.23,248.34,13398547,300064064,826928499,0.01620278780596241
2010/11/4,248.34,255.12,246.56,254.23,12679649,286571360,826928499,0.015333428483035025
2010/11/5,253.78,257.23,247.01,250.67,16552055,376231200,826928499,0.020016307359120297
2010/11/8,246.56,250.67,243.23,249.78,14123870,314497344,826928499,0.017079916845386168
2010/11/9,249.78,257.56,244.34,256.67,21506156,486015616,826928499,0.026007273937235533
2010/11/10,256.12,267.11,254,261.11,21092084,498487360,826928499,0.02550653898796152
2010/11/11,261.11,272.11,256.56,269.44,21722152,517344608,826928499,0.02626847668966359
2010/11/12,264.33,271.33,253.23,253.56,17077420,404031520,826928499,0.020651628309644218
2010/11/15,255.45,277.44,254.23,274.66,18927192,454007104,826928499,0.02288854722371831
2010/11/16,272.11,283.55,264.67,265.44,18283000,448698752,826928499,0.022109529447962586
2010/11/17,262.11,266.89,244.34,250.01,20443732,472102560,826928499,0.024722490547517094
2010/11/18,252.67,254,244.34,248.01,9794402,220008464,826928499,0.011844315453928986
2010/11/19,249.9,263.33,248.23,263.11,13683678,315514176,826928499,0.016547595126480217
2010/11/22,262.11,271,260,265.22,8593950,206314432,826928499,0.010392615577274958
2010/11/23,266.56,266.56,256.67,263.45,8290021,195934800,826928499,0.010025075940695086
2010/11/24,262,274.22,261,274.11,8383779,203400752,826928499,0.010138456964705481
2010/11/25,277.44,278.77,264.89,269.78,11697418,285381472,826928499,0.01414562203884087
2010/11/26,269.67,269.67,262.11,262.56,7263871,172918384,826928499,0.008784158495908847
2010/11/29,262.11,269.67,261.78,264.45,6607176,158002352,826928499,0.007990020912315902
2010/11/30,283.21,290.88,274.33,285.44,43451724,1111475328,826928499,0.05254592634374789
2010/12/1,279.88,285.44,275.44,280.55,15035622,379671968,826928499,0.01818249342982192
2010/12/2,282.77,289.88,279.44,280.55,9983194,255117024,826928499,0.012072620561599487
2010/12/3,278.77,282.77,274.55,277.66,5090011,127062744,826928499,0.006155321779519416
2010/12/6,280.44,282.1,259.78,262.22,12664849,302978688,826928499,0.015315530925969453
2010/12/7,261.67,269.55,255.45,268,7033909,167442464,826928499,0.008506066737941752
2010/12/8,267.11,267.67,259.67,263.22,7208265,170256576,826928499,0.008716914471706942
2010/12/9,262.67,262.67,252.78,256.78,9786390,224699952,826928499,0.011834626587225651
2010/12/10,254.45,256.56,250.9,253.56,10286828,234620368,826928499,0.012439803456332443
2010/12/13,256,260.78,251.01,260.11,18866380,434038464,826928499,0.02281500761288915
2010/12/14,259.34,259.67,256.12,257.89,10406394,241154080,826928499,0.012584393950123129
2010/12/15,268.89,275.44,261.56,263,20877246,499658176,826928499,0.025246736598444407
2010/12/16,265.44,271,263.11,264.45,12107143,289497728,826928499,0.014641100185374067
2010/12/17,262.67,264.89,261,264.22,6161872,145976080,826928499,0.007451517280455949
2010/12/20,264.33,265.78,249.9,254.78,13355236,307896128,826928499,0.016150412056363292
2010/12/21,254.34,255.67,245.79,250.67,15306627,344589056,826928499,0.01851021825769727
2010/12/22,250.45,250.45,242.68,245.01,16355417,360935872,826928499,0.01977851412761625
2010/12/23,245.45,248.78,242.12,242.79,9500573,209784896,826928499,0.01148898969075197
2010/12/24,243.34,245.34,239.01,240.79,5693995,123909280,826928499,0.00688571624618781
2010/12/27,239.9,244.34,227.68,231.24,9710957,207340864,826928499,0.011743405883027863
2010/12/28,230.01,233.01,221.57,227.79,10210337,207035104,826928499,0.012347303318663346
2010/12/29,227.57,234.68,227.57,234.01,9580238,200153664,826928499,0.011585328128834994
2010/12/31,236.57,245.12,235.46,242.57,13128276,286220608,826928499,0.01587595060017396
2011/1/4,243.23,245.45,236.57,241.57,12661077,275013536,826928499,0.015310969467506525
2011/1/5,239.9,247.67,237.68,242.34,15155097,332688288,826928499,0.018326973877822537
2011/1/6,242.01,244.34,241.12,241.9,7064745,154312032,826928499,0.00854335653994675
2011/1/7,242.12,245.12,236.35,238.9,8756236,190191584,826928499,0.010588867127676536
2011/1/10,238.23,238.34,226.46,227.24,10163853,210330192,826928499,0.012291090477944695
2011/1/11,227.13,227.13,216.24,221.02,14513726,287614112,826928499,0.01755136752155884
2011/1/12,220.69,220.8,217.35,218.8,6530139,128730248,826928499,0.007896860499906413
2011/1/13,220.24,225.68,219.91,225.13,12109856,242566144,826928499,0.01464438100107129
2011/1/14,224.46,224.46,216.47,220.57,10793761,212991408,826928499,0.013052834692543352
2011/1/17,217.69,220.57,214.13,215.02,6953819,135700704,826928499,0.00840921434974029
2011/1/18,214.47,224.35,212.13,224.02,9765570,192026208,826928499,0.011809449077894218
2011/1/19,221.8,229.9,221.02,225.79,8819686,179217840,826928499,0.010665596857123193
2011/1/20,226.02,226.02,216.47,216.58,4603759,91410368,826928499,0.005567299960718853
2011/1/21,216.8,220.13,211.02,216.8,7934501,153535104,826928499,0.009595147596914542
2011/1/24,217.13,217.13,206.8,206.91,11175764,211876496,826928499,0.0135147887798217
2011/1/25,206.58,213.24,206.36,210.13,12182919,230690672,826928499,0.014732735677549794
